threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,false_negatives,false_positives,tp,tn
0.1,0.7868589743589743,0.7158119658119658,0.745697896749522,1.0,0.43162393162393164,0,133,390,101
0.15000000000000002,0.8125,0.7517094017094017,0.7713717693836978,0.9948717948717949,0.5085470085470085,2,115,388,119
0.2,0.8269230769230769,0.770940170940171,0.7854251012145749,0.9948717948717949,0.5470085470085471,2,106,388,128
0.25,0.8397435897435898,0.7897435897435898,0.8008298755186722,0.9897435897435898,0.5897435897435898,4,96,386,138
0.30000000000000004,0.8605769230769231,0.8175213675213675,0.8230277185501066,0.9897435897435898,0.6452991452991453,4,83,386,151
0.35,0.8701923076923077,0.8311965811965812,0.8351409978308026,0.9871794871794872,0.6752136752136753,5,76,385,158
0.4,0.8766025641025641,0.8405982905982906,0.843956043956044,0.9846153846153847,0.6965811965811965,6,71,384,163
0.45000000000000007,0.8782051282051282,0.8461538461538461,0.852017937219731,0.9743589743589743,0.717948717948718,10,66,380,168
0.5,0.8990384615384616,0.8739316239316239,0.8775981524249422,0.9743589743589743,0.7735042735042735,10,53,380,181
0.55,0.9038461538461539,0.8803418803418803,0.8837209302325582,0.9743589743589743,0.7863247863247863,10,50,380,184
0.6,0.8974358974358975,0.8760683760683761,0.8844339622641509,0.9615384615384616,0.7905982905982906,15,49,375,185
0.65,0.9006410256410257,0.8811965811965812,0.8904761904761904,0.958974358974359,0.8034188034188035,16,46,374,188
0.7000000000000001,0.905448717948718,0.8884615384615384,0.8987951807228916,0.9564102564102565,0.8205128205128205,17,42,373,192
0.75,0.9086538461538461,0.8944444444444444,0.9070904645476773,0.9512820512820512,0.8376068376068376,19,38,371,196
0.8,0.9102564102564102,0.9025641025641026,0.9238578680203046,0.9333333333333333,0.8717948717948718,26,30,364,204
0.85,0.9038461538461539,0.8999999999999999,0.9296875,0.9153846153846154,0.8846153846153846,33,27,357,207
0.9,0.8910256410256411,0.894017094017094,0.9398907103825137,0.882051282051282,0.905982905982906,46,22,344,212
