bin,lo,hi,count,confidence,empirical_rate,gap
1,0.0,0.1,112,0.024892330169677734,0.008928571428571428,0.015963758741106306
2,0.1,0.2,15,0.14994549751281738,0.13333333333333333,0.01661216417948405
3,0.2,0.30000000000000004,18,0.24417349696159363,0.05555555555555555,0.18861794140603808
4,0.30000000000000004,0.4,10,0.35004115104675293,0.1,0.25004115104675295
5,0.4,0.5,8,0.4550451338291168,0.0,0.4550451338291168
6,0.5,0.6000000000000001,10,0.5403222441673279,0.3,0.2403222441673279
7,0.6000000000000001,0.7000000000000001,8,0.6361128687858582,0.125,0.5111128687858582
8,0.7000000000000001,0.8,9,0.7373734712600708,0.5555555555555556,0.18181791570451522
9,0.8,0.9,23,0.8489440679550171,0.30434782608695654,0.5445962418680605
10,0.9,1.0,411,0.9928908944129944,0.8978102189781022,0.09508067543489218
